#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,New
Wolbachia endosymbiont of Drosophila ananassae,Bacteria;Proteobacteria;Alphaproteobacteria,W2.1,SAMN10261083,PRJNA393867,GCA_008033215.1,Complete,1.40146,35.2,chromosome:NZ_CP042904.1/CP042904.1,,1,1226,2019-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/215/GCA_008033215.1_ASM803321v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/215/GCF_008033215.1_ASM803321v1,x
Agrobacterium vitis S4,Bacteria;Proteobacteria;Alphaproteobacteria,S4,SAMN02602976,PRJNA13372,GCA_000016285.1,Complete,6.32095,57.4965,chromosome 1:NC_011989.1/CP000633.1; chromosome 2:NC_011988.1/CP000634.1; plasmid pAtS4a:NC_011986.1/CP000639.1; plasmid pAtS4b:NC_011991.1/CP000635.1; plasmid pAtS4c:NC_011984.1/CP000636.1; plasmid pAtS4e:NC_011981.1/CP000638.1; plasmid pTiS4:NC_011982.1/CP000637.1,,7,5478,2009-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/285/GCA_000016285.1_ASM1628v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1,x
Nitrobacter hamburgensis X14,Bacteria;Proteobacteria;Alphaproteobacteria,X14,SAMN02598307,PRJNA13473,GCA_000013885.1,Complete,5.01152,61.6047,chromosome:NC_007964.1/CP000319.1; plasmid 1:NC_007959.1/CP000320.1; plasmid 2:NC_007960.1/CP000321.1; plasmid 3:NC_007961.1/CP000322.1,,4,4356,2006-04-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/885/GCA_000013885.1_ASM1388v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1,x
Nitrobacter winogradskyi Nb-255,Bacteria;Proteobacteria;Alphaproteobacteria,Nb-255,SAMN02598308,PRJNA13474,GCA_000012725.1,Complete,3.40209,62,chromosome:NC_007406.1/CP000115.1,,1,3017,2005-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/725/GCA_000012725.1_ASM1272v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/725/GCF_000012725.1_ASM1272v1,x
Erythrobacter litoralis,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 8509,SAMN05601187,PRJNA339618,GCA_001719165.1,Complete,3.25135,65.2,chromosome:NZ_CP017057.1/CP017057.1,,1,3033,2016-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/165/GCA_001719165.1_ASM171916v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/719/165/GCF_001719165.1_ASM171916v1,x
Rickettsia felis URRWXCal2,Bacteria;Proteobacteria;Alphaproteobacteria,URRWXCal2,SAMN02603143,PRJNA13884,GCA_000012145.1,Complete,1.58724,32.5609,chromosome:NC_007109.1/CP000053.1; plasmid pRF:NC_007110.1/CP000054.1; plasmid pRFdelta:NC_007111.1/CP000055.1,,3,1351,2005-06-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/145/GCA_000012145.1_ASM1214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/145/GCF_000012145.1_ASM1214v1,x
Sphingopyxis alaskensis RB2256,Bacteria;Proteobacteria;Alphaproteobacteria,RB2256,SAMN02598319,PRJNA13907,GCA_000013985.1,Complete,3.37371,65.4569,chromosome:NC_008048.1/CP000356.1; plasmid F plasmid:NC_008036.1/CP000357.1,,2,3173,2006-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/985/GCA_000013985.1_ASM1398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/985/GCF_000013985.1_ASM1398v1,x
Xanthobacter autotrophicus Py2,Bacteria;Proteobacteria;Alphaproteobacteria,Py2,SAMN02598342,PRJNA15756,GCA_000017645.1,Complete,5.6251,67.3763,chromosome:NC_009720.1/CP000781.1; plasmid pXAUT01:NC_009717.1/CP000782.1,,2,5044,2007-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/645/GCA_000017645.1_ASM1764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/645/GCF_000017645.1_ASM1764v1,x
Sinorhizobium medicae WSM419,Bacteria;Proteobacteria;Alphaproteobacteria,WSM419,SAMN02598363,PRJNA16304,GCA_000017145.1,Complete,6.81758,61.1627,chromosome:NC_009636.1/CP000738.1; plasmid pSMED01:NC_009620.1/CP000739.1; plasmid pSMED02:NC_009621.1/CP000740.1; plasmid pSMED03:NC_009622.1/CP000741.1,,4,6068,2007-06-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/145/GCA_000017145.1_ASM1714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/145/GCF_000017145.1_ASM1714v1,x
Granulibacter bethesdensis CGDNIH1,Bacteria;Proteobacteria;Alphaproteobacteria,CGDNIH1,SAMN02603769,PRJNA17111,GCA_000014285.2,Complete,2.70843,59.1,chromosome:NC_008343.2/CP000394.2,,1,2379,2006-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/285/GCA_000014285.2_ASM1428v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/285/GCF_000014285.2_ASM1428v2,x
Maricaulis maris MCS10,Bacteria;Proteobacteria;Alphaproteobacteria,MCS10,SAMN02598382,PRJNA17333,GCA_000014745.1,Complete,3.36878,62.7,chromosome:NC_008347.1/CP000449.1,,1,3084,2006-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/745/GCA_000014745.1_ASM1474v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/745/GCF_000014745.1_ASM1474v1,x
Dinoroseobacter shibae DFL 12 = DSM 16493,Bacteria;Proteobacteria;Alphaproteobacteria,DFL 12,SAMN02598387,PRJNA17417,GCA_000018145.1,Complete,4.41787,65.5105,chromosome:NC_009952.1/CP000830.1; plasmid pDSHI01:NC_009955.1/CP000831.1; plasmid pDSHI02:NC_009956.1/CP000832.1; plasmid pDSHI03:NC_009957.1/CP000833.1; plasmid pDSHI04:NC_009958.1/CP000834.1; plasmid pDSHI05:NC_009959.1/CP000835.1,,6,4150,2007-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/145/GCA_000018145.1_ASM1814v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/145/GCF_000018145.1_ASM1814v1,x
Sphingomonas wittichii RW1,Bacteria;Proteobacteria;Alphaproteobacteria,RW1,SAMN02598383,PRJNA17343,GCA_000016765.1,Complete,5.91525,67.9033,chromosome:NC_009511.1/CP000699.1; plasmid pSWIT01:NC_009507.1/CP000700.1; plasmid pSWIT02:NC_009508.1/CP000701.1,,3,5418,2007-05-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/765/GCA_000016765.1_ASM1676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/765/GCF_000016765.1_ASM1676v1,x
Parvibaculum lavamentivorans DS-1,Bacteria;Proteobacteria;Alphaproteobacteria,DS-1,SAMN00623055,PRJNA17639,GCA_000017565.1,Complete,3.91474,62.3,chromosome:NC_009719.1/CP000774.1,,1,3653,2007-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/565/GCA_000017565.1_ASM1756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/565/GCF_000017565.1_ASM1756v1,x
Rhodospirillum centenum SW,Bacteria;Proteobacteria;Alphaproteobacteria,SW,SAMN02603908,PRJNA18307,GCA_000016185.1,Complete,4.35554,70.5,chromosome:NC_011420.2/CP000613.2,,1,3847,2008-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/185/GCA_000016185.1_ASM1618v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/185/GCF_000016185.1_ASM1618v1,x
Labrenzia aggregata,Bacteria;Proteobacteria;Alphaproteobacteria,RMAR6-6,SAMN06292063,PRJNA369708,GCA_001999245.1,Complete,6.65099,58.8635,chromosome:NZ_CP019630.1/CP019630.1; plasmid unnamed1:NZ_CP019631.1/CP019631.1; plasmid unnamed2:NZ_CP019632.1/CP019632.1,,3,6039,2017-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/245/GCA_001999245.1_ASM199924v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/245/GCF_001999245.1_ASM199924v1,x
Magnetospirillum gryphiswaldense MSR-1 v2,Bacteria;Proteobacteria;Alphaproteobacteria,MSR-1,SAMEA3138838,PRJEB4690,GCA_000513295.1,Complete,4.3658,63.3,chromosome I:NC_023065.1/HG794546.1,,1,4024,2013-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/295/GCA_000513295.1_MGMSRv2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/295/GCF_000513295.1_MGMSRv2,x
Neorickettsia risticii str. Illinois,Bacteria;Proteobacteria;Alphaproteobacteria,Illinois,SAMN02603947,PRJNA19099,GCA_000022525.1,Complete,0.879977,41.3,chromosome:NC_013009.1/CP001431.1,,1,752,2009-07-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/525/GCA_000022525.1_ASM2252v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/525/GCF_000022525.1_ASM2252v1,x
Azorhizobium caulinodans ORS 571,Bacteria;Proteobacteria;Alphaproteobacteria,ORS 571,SAMD00060925,PRJDA19267,GCA_000010525.1,Complete,5.36977,67.3,chromosome:NC_009937.1/AP009384.1,,1,4756,2007-10-16T23:23:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,x
Hoeflea phototrophica DFL-43,Bacteria;Proteobacteria;Alphaproteobacteria,DFL-43,SAMN02436119,PRJNA19311,GCA_000154705.2, Chromosome,4.46847,59.8,chromosome:NZ_CM002917.1/CM002917.1,ABIA03,1,8329,2007-11-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/705/GCA_000154705.2_ASM15470v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/705/GCF_000154705.2_ASM15470v2,x
Roseobacter litoralis Och 149,Bacteria;Proteobacteria;Alphaproteobacteria,Och 149,SAMN02603624,PRJNA19357,GCA_000154785.2,Complete,4.74545,57.2249,chromosome:NC_015730.1/CP002623.1; plasmid pRLO149_63:NC_015729.1/CP002626.1; plasmid pRLO149_83:NC_015728.1/CP002625.1; plasmid pRLO149_94:NC_015741.1/CP002624.1,,4,4369,2011-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/785/GCA_000154785.2_ASM15478v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/785/GCF_000154785.2_ASM15478v2,x
Labrenzia alexandrii DFL-11,Bacteria;Proteobacteria;Alphaproteobacteria,DFL-11,SAMN02436266,PRJNA19367,GCA_000158095.2, Chromosome,5.46293,56.402,chromosome:NZ_CM011002.1/CM011002.1; plasmid pLADFL_1:NZ_CM011003.1/CM011003.1; plasmid pLADFL_2:NZ_CM011004.1/CM011004.1,ACCU02,3,9998,2008-12-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/095/GCA_000158095.2_ASM15809v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/095/GCF_000158095.2_ASM15809v2,x
Methylorubrum populi BJ001,Bacteria;Proteobacteria;Alphaproteobacteria,BJ001,SAMN00000038,PRJNA19559,GCA_000019945.1,Complete,5.849,69.3702,chromosome:NC_010725.1/CP001029.1; plasmid pMPOP01:NC_010727.1/CP001030.1; plasmid pMPOP02:NC_010721.1/CP001031.1,,3,5332,2008-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/945/GCA_000019945.1_ASM1994v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1,x
Phenylobacterium zucineum HLK1,Bacteria;Proteobacteria;Alphaproteobacteria,HLK1,SAMN02603048,PRJNA19931,GCA_000017265.1,Complete,4.37923,71.0551,chromosome:NC_011144.1/CP000747.1; plasmid unnamed:NC_011143.1/CP000748.1,,2,4178,2008-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/265/GCA_000017265.1_ASM1726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/265/GCF_000017265.1_ASM1726v1,x
Methylobacterium nodulans ORS 2060,Bacteria;Proteobacteria;Alphaproteobacteria,ORS 2060,SAMN00000043,PRJNA20477,GCA_000022085.1,Complete,8.83902,68.485,chromosome:NC_011894.1/CP001349.1; plasmid pMNOD01:NC_011892.1/CP001350.1; plasmid pMNOD02:NC_011887.1/CP001351.1; plasmid pMNOD03:NC_011893.1/CP001352.1; plasmid pMNOD04:NC_011895.1/CP001353.1; plasmid pMNOD05:NC_011888.1/CP001354.1; plasmid pMNOD06:NC_011889.1/CP001355.1; plasmid pMNOD07:NC_011890.1/CP001356.1,,8,7880,2009-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/085/GCA_000022085.1_ASM2208v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/085/GCF_000022085.1_ASM2208v1,x
Methylocella silvestris BL2,Bacteria;Proteobacteria;Alphaproteobacteria,BL2,SAMN00000045,PRJNA20635,GCA_000021745.1,Complete,4.30543,63.1,chromosome:NC_011666.1/CP001280.1,,1,3788,2008-12-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/745/GCA_000021745.1_ASM2174v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/745/GCF_000021745.1_ASM2174v1,x
Beijerinckia indica subsp. indica ATCC 9039,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 9039,SAMN02598441,PRJNA20841,GCA_000019845.1,Complete,4.41862,57.0207,chromosome:NC_010581.1/CP001016.1; plasmid pBIND01:NC_010580.1/CP001017.1; plasmid pBIND02:NC_010578.1/CP001018.1,,3,3760,2008-04-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/845/GCA_000019845.1_ASM1984v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/845/GCF_000019845.1_ASM1984v1,x
Rickettsia typhi str. Wilmington,Bacteria;Proteobacteria;Alphaproteobacteria,Wilmington,SAMN02603327,PRJNA10679,GCA_000008045.1,Complete,1.1115,28.9,chromosome:NC_006142.1/AE017197.1,,1,817,2004-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/045/GCA_000008045.1_ASM804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1,x
Paracoccus denitrificans PD1222,Bacteria;Proteobacteria;Alphaproteobacteria,PD1222,SAMN02598290,PRJNA13020,GCA_000203895.1,Complete,5.23619,66.783,chromosome 1:NC_008686.1/CP000491.1; chromosome 2:NC_008687.1/CP000490.1; plasmid 1:NC_008688.1/CP000491.1,,3,5009,2006-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/895/GCA_000203895.1_ASM20389v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/895/GCF_000203895.1_ASM20389v1,x
Yoonia vestfoldensis,Bacteria;Proteobacteria;Alphaproteobacteria,SMR4r,SAMN07142919,PRJNA380207,GCA_002158905.1,Complete,3.98736,60.6796,chromosome:NZ_CP021431.1/CP021431.1; plasmid pSMR4r-1:NZ_CP021432.1/CP021432.1; plasmid pSMR4r-2:NZ_CP021433.1/CP021433.1,,3,3856,2017-05-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/158/905/GCA_002158905.1_ASM215890v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/905/GCF_002158905.1_ASM215890v1,x
Parvularcula bermudensis HTCC2503,Bacteria;Proteobacteria;Alphaproteobacteria,HTCC2503,SAMN02603918,PRJNA13509,GCA_000152825.2,Complete,2.90264,60.7,chromosome:NC_014414.1/CP002156.1,,1,2618,2010-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/825/GCA_000152825.2_ASM15282v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/825/GCF_000152825.2_ASM15282v2,x
Hyphomonas neptunium ATCC 15444,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 15444,SAMN02604041,PRJNA15721,GCA_000013025.1,Complete,3.70502,61.9,chromosome:NC_008358.1/CP000158.1,,1,3462,2006-09-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/025/GCA_000013025.1_ASM1302v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/025/GCF_000013025.1_ASM1302v1,x
Oligotropha carboxidovorans OM5,Bacteria;Proteobacteria;Alphaproteobacteria,OM5,SAMN02603254,PRJNA41025,GCA_000218565.1,Complete,3.89607,62.3535,chromosome:NC_015684.1/CP002826.1; plasmid pHCG3:NC_015689.1/CP002827.1; plasmid pOC167:NC_015685.1/CP002828.1,,3,3684,2011-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/565/GCA_000218565.1_ASM21856v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1,x
Brucella microti CCM 4915,Bacteria;Proteobacteria;Alphaproteobacteria,CCM 4915,SAMN02603148,PRJNA32233,GCA_000022745.1,Complete,3.33737,57.2366,chromosome 1:NC_013119.1/CP001578.1; chromosome 2:NC_013118.1/CP001579.1,,2,3044,2009-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/745/GCA_000022745.1_ASM2274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/745/GCF_000022745.1_ASM2274v1,x
Asticcacaulis excentricus CB 48,Bacteria;Proteobacteria;Alphaproteobacteria,CB 48,SAMN00002561,PRJNA32595,GCA_000175215.2,Complete,4.30878,59.5298,chromosome 1:NC_014816.1/CP002395.1; chromosome 2:NC_014817.1/CP002396.1; plasmid pASTEX01:NC_014818.1/CP002397.1; plasmid pASTEX02:NC_014819.1/CP002398.1,,4,3755,2010-12-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/215/GCA_000175215.2_ASM17521v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/215/GCF_000175215.2_ASM17521v2,x
Anaplasma centrale str. Israel,Bacteria;Proteobacteria;Alphaproteobacteria,Israel,SAMN02604279,PRJNA32765,GCA_000024505.1,Complete,1.20681,50,chromosome:NC_013532.1/CP001759.1,,1,897,2009-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/505/GCA_000024505.1_ASM2450v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/505/GCF_000024505.1_ASM2450v1,x
Hirschia baltica ATCC 49814,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 49814,SAMN02598497,PRJNA33191,GCA_000023785.1,Complete,3.54011,45.1594,chromosome:NC_012982.1/CP001678.1; plasmid pHbal01:NC_012983.1/CP001679.1,,2,3158,2009-07-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/785/GCA_000023785.1_ASM2378v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/785/GCF_000023785.1_ASM2378v1,x
Hyphomicrobium denitrificans ATCC 51888,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 51888,SAMN02598499,PRJNA33261,GCA_000143145.1,Complete,3.63897,60.8,chromosome:NC_014313.1/CP002083.1,,1,3441,2010-06-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/145/GCA_000143145.1_ASM14314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/145/GCF_000143145.1_ASM14314v1,x
Mesorhizobium opportunistum WSM2075,Bacteria;Proteobacteria;Alphaproteobacteria,WSM2075,SAMN02232036,PRJNA33861,GCA_000176035.2,Complete,6.88444,62.9,chromosome:NC_015675.1/CP002279.1,,1,6462,2011-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/035/GCA_000176035.2_ASM17603v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/035/GCF_000176035.2_ASM17603v2,x
Rickettsia endosymbiont of Ixodes scapularis,Bacteria;Proteobacteria;Alphaproteobacteria,REIS,SAMN02436262,PRJNA33979,GCA_000160735.1, Chromosome,2.10009,33.3285,chromosome:NZ_CM000770.1/CM000770.1; plasmid pREIS1:NZ_CM000771.1/CM000771.1; plasmid pREIS2:NZ_CM000772.1/CM000772.1; plasmid pREIS3:NZ_CM000773.1/CM000773.1,ACLC01,20,1664,2009-06-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/735/GCA_000160735.1_ASM16073v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/735/GCF_000160735.1_ASM16073v1,x
Bartonella grahamii as4aup,Bacteria;Proteobacteria;Alphaproteobacteria,as4aup,SAMN02603206,PRJNA34873,GCA_000022725.1,Complete,2.36952,38.0798,chromosome:NC_012846.1/CP001562.1; plasmid pBGR3:NC_012847.1/CP001563.1,,2,1824,2009-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/725/GCA_000022725.1_ASM2272v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/725/GCF_000022725.1_ASM2272v1,x
Brevundimonas subvibrioides ATCC 15264,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 15264,SAMN00007485,PRJNA36643,GCA_000144605.1,Complete,3.44526,68.4,chromosome:NC_014375.1/CP002102.1,,1,3298,2010-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/605/GCA_000144605.1_ASM14460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/605/GCF_000144605.1_ASM14460v1,x
Caulobacter segnis ATCC 21756,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 21756,SAMN02598513,PRJNA37277,GCA_000092285.1,Complete,4.65562,67.7,chromosome:NC_014100.1/CP002008.1,,1,4140,2010-04-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/285/GCA_000092285.1_ASM9228v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/285/GCF_000092285.1_ASM9228v1,x
Starkeya novella DSM 506,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 506,SAMN02598514,PRJNA37659,GCA_000092925.1,Complete,4.76502,67.9,chromosome:NC_014217.1/CP002026.1,,1,4414,2010-05-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/925/GCA_000092925.1_ASM9292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/925/GCF_000092925.1_ASM9292v1,x
Rhodomicrobium vannielii ATCC 17100,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 17100,SAMN00007427,PRJNA38253,GCA_000166055.1,Complete,4.01447,62.2,chromosome:NC_014664.1/CP002292.1,,1,3573,2010-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/055/GCA_000166055.1_ASM16605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/055/GCF_000166055.1_ASM16605v1,x
Magnetospirillum magneticum AMB-1,Bacteria;Proteobacteria;Alphaproteobacteria,AMB-1,SAMD00061077,PRJNA16217,GCA_000009985.1,Complete,4.96715,65.1,chromosome:NC_007626.1/AP007255.1,,1,4530,2005-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/985/GCA_000009985.1_ASM998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/985/GCF_000009985.1_ASM998v1,x
Komagataeibacter xylinus,Bacteria;Proteobacteria;Alphaproteobacteria,CGMCC 17276,SAMN12145372,PRJNA551376,GCA_009834365.1,Complete,3.98303,61.697,chromosome:NZ_CP041348.1/CP041348.1; plasmid pA:NZ_CP041349.1/CP041349.1; plasmid pB:NZ_CP041350.1/CP041350.1; plasmid pC:NZ_CP041351.1/CP041351.1,,4,3599,2020-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/834/365/GCA_009834365.1_ASM983436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/365/GCF_009834365.1_ASM983436v1,x
Mesorhizobium ciceri biovar biserrulae,Bacteria;Proteobacteria;Alphaproteobacteria,WSM1284,SAMN04604739,PRJNA317273,GCA_001618845.1,Complete,6.88045,62.5149,chromosome:NZ_CP015064.1/CP015064.1; plasmid pMc1284:NZ_CP015065.1/CP015065.1,,2,6348,2016-04-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/845/GCA_001618845.1_ASM161884v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/845/GCF_001618845.1_ASM161884v1,x
Methylosinus trichosporium OB3b,Bacteria;Proteobacteria;Alphaproteobacteria,OB3b,SAMN07735646,PRJNA413061,GCA_002752655.1,Complete,5.18343,65.7592,chromosome:NZ_CP023737.1/CP023737.1; plasmid pOB3b1:NZ_CP023738.1/CP023738.1; plasmid pOB3b2:NZ_CP023739.1/CP023739.1; plasmid pOB3b3:NZ_CP023740.1/CP023740.1,,4,4526,2017-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/655/GCA_002752655.1_ASM275265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/655/GCF_002752655.1_ASM275265v1,x
