#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Acinetobacter lwoffii,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_552,SAMN10163245,PRJNA231221,GCA_009730095.1,Complete,3.48547,43.0054,chromosome:NZ_CP046296.1/CP046296.1; plasmid unnamed1:NZ_CP046295.1/CP046295.1; plasmid unnamed2:NZ_CP046297.1/CP046297.1; plasmid unnamed3:NZ_CP046298.1/CP046298.1; plasmid unnamed4:NZ_CP046299.1/CP046299.1,,5,3134,2019-12-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/095/GCA_009730095.1_ASM973009v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/095/GCF_009730095.1_ASM973009v1,x
Vibrio fluvialis,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_104,SAMN03996321,PRJNA231221,GCA_001558415.2,Complete,4.82773,49.8961,chromosome 1:NZ_CP014034.2/CP014034.2; chromosome 2:NZ_CP014035.2/CP014035.2,,2,4338,2016-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/415/GCA_001558415.2_ASM155841v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/415/GCF_001558415.2_ASM155841v2,x
Pantoea stewartii subsp. stewartii DC283,Bacteria;Proteobacteria;Gammaproteobacteria,DC283,SAMN05761485,PRJNA342501,GCA_002082215.1,Complete,5.31409,53.7776,chromosome:NZ_CP017581.1/CP017581.1; plasmid pDSJ01:NZ_CP017582.1/CP017582.1; plasmid pDSJ02:NZ_CP017583.1/CP017583.1; plasmid pDSJ03:NZ_CP017584.1/CP017584.1; plasmid pDSJ04:NZ_CP017585.1/CP017585.1; plasmid pDSJ05:NZ_CP017586.1/CP017586.1; plasmid pDSJ06:NZ_CP017587.1/CP017587.1; plasmid pDSJ07:NZ_CP017588.1/CP017588.1; plasmid pDSJ08:NZ_CP017589.1/CP017589.1; plasmid pDSJ09:NZ_CP017590.1/CP017590.1; plasmid pDSJ10:NZ_CP017591.1/CP017591.1; plasmid ppDSJ01:NZ_CP017592.1/CP017592.1,,12,4881,2017-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/215/GCA_002082215.1_ASM208221v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/215/GCF_002082215.1_ASM208221v1,x
Cronobacter turicensis z3032,Bacteria;Proteobacteria;Gammaproteobacteria,,SAMEA2272673,PRJEA39965,GCA_000027065.2,Complete,4.59909,57.2342,chromosome:NC_013282.2/FN543093.2; plasmid pCTU1:NC_013283.1/FN543094.1; plasmid pCTU2:NC_013284.1/FN543095.1; plasmid pCTU3:NC_013285.1/FN543096.1,,4,4211,2009-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/065/GCA_000027065.2_ASM2706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/065/GCF_000027065.2_ASM2706v1,x
Pasteurella dagmatis,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC11617,SAMEA4362423,PRJEB6403,GCA_900186835.1,Complete,2.28721,37.5,chromosome 1:NZ_LT906448.1/LT906448.1,,1,1999,2017-08-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/186/835/GCA_900186835.1_49950_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/835/GCF_900186835.1_49950_F01,x
Serratia odorifera,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC11214,SAMEA2612492,PRJEB6403,GCA_900635445.1,Complete,5.27256,56.1,chromosome 1:NZ_LR134117.1/LR134117.1,,1,4024,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/445/GCA_900635445.1_28869_A02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/445/GCF_900635445.1_28869_A02,x
Vibrio mimicus,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_112,SAMN03996328,PRJNA231221,GCA_001558475.2,Complete,4.4387,46.3875,chromosome 1:NZ_CP014042.2/CP014042.2; chromosome 2:NZ_CP014043.2/CP014043.2,,2,3905,2016-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/475/GCA_001558475.2_ASM155847v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/475/GCF_001558475.2_ASM155847v2,x
Nitrosococcus watsonii C-113,Bacteria;Proteobacteria;Gammaproteobacteria,C-113,SAMN02598531,PRJNA40331,GCA_000143085.1,Complete,3.37329,50.1211,chromosome:NC_014315.1/CP002086.1; plasmid pNWAT01:NC_014316.1/CP002087.1; plasmid pNWAT02:NC_014317.1/CP002088.1,,3,2896,2010-06-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/085/GCA_000143085.1_ASM14308v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/085/GCF_000143085.1_ASM14308v1,x
Vibrio alginolyticus NBRC 15630 = ATCC 17749,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 17749,SAMN02603463,PRJNA184046,GCA_000354175.2,Complete,5.14664,44.7,chromosome 1:NC_022349.1/CP006718.1; chromosome 2:NC_022359.1/CP006719.1,,2,4481,2013-09-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/175/GCA_000354175.2_ASM35417v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/354/175/GCF_000354175.2_ASM35417v2,x
Vibrio coralliilyticus,Bacteria;Proteobacteria;Gammaproteobacteria,RE98,SAMN02940923,PRJNA256165,GCA_000772065.1,Complete,6.03782,45.502,chromosome 1:NZ_CP009617.1/CP009617.1; chromosome 2:NZ_CP009618.1/CP009618.1; plasmid p319:NZ_CP009620.1/CP009620.1; plasmid p380:NZ_CP009619.1/CP009619.1,,4,5553,2014-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/065/GCA_000772065.1_ASM77206v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/065/GCF_000772065.1_ASM77206v1,x
Grimontia hollisae,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_111,SAMN03996327,PRJNA231221,GCA_001558255.2,Complete,3.99844,49.4846,chromosome 1:NZ_CP014056.2/CP014056.2; chromosome 2:NZ_CP014055.2/CP014055.2,,2,3468,2016-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/255/GCA_001558255.2_ASM155825v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/255/GCF_001558255.2_ASM155825v2,x
Vibrio furnissii,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_777,SAMN11056492,PRJNA231221,GCA_006364355.1,Complete,4.99333,50.5938,chromosome 1:NZ_CP040990.1/CP040990.1; chromosome 2:NZ_CP040991.1/CP040991.1; plasmid unnamed1:NZ_CP040989.1/CP040989.1,,3,4466,2019-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/364/355/GCA_006364355.1_ASM636435v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/364/355/GCF_006364355.1_ASM636435v1,x
Enterobacter asburiae,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 35953,SAMN03742638,PRJNA285282,GCA_001521715.1,Complete,4.80622,55.4279,chromosome:NZ_CP011863.1/CP011863.1; plasmid unnamed 1:NZ_CP011864.1/CP011864.1; plasmid unnamed 2:NZ_CP011865.1/CP011865.1; plasmid unnamed 3:NZ_CP011866.1/CP011866.1; plasmid unnamed 4:NZ_CP011867.1/CP011867.1,,5,4416,2016-01-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/521/715/GCA_001521715.1_ASM152171v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/521/715/GCF_001521715.1_ASM152171v1,x
Pseudomonas amygdali pv. lachrymans,Bacteria;Proteobacteria;Gammaproteobacteria,NM002,SAMN06606132,PRJNA379352,GCA_002068135.1,Complete,6.00924,58.1,chromosome:NZ_CP020351.1/CP020351.1,,1,5310,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/068/135/GCA_002068135.1_ASM206813v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/068/135/GCF_002068135.1_ASM206813v1,x
Xanthomonas campestris pv. vesicatoria str. 85-10,Bacteria;Proteobacteria;Gammaproteobacteria,Oct-85,SAMEA3138194,PRJNA13649,GCA_000009165.1,Complete,5.42015,64.5103,chromosome:NC_007508.1/AM039952.1; plasmid pXCV183:NC_007507.1/AM039951.1; plasmid pXCV19:NC_007505.1/AM039949.1; plasmid pXCV2:NC_007504.1/AM039948.1; plasmid pXCV38:NC_007506.1/AM039950.1,,5,4416,2005-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/165/GCA_000009165.1_ASM916v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/165/GCF_000009165.1_ASM916v1,x
Pantoea ananatis LMG 5342,Bacteria;Proteobacteria;Gammaproteobacteria,LMG 5342,SAMEA2272583,PRJEA78277,GCA_000283875.1,Complete,4.90814,53.2829,chromosome:NC_016816.1/HE617160.1; plasmid pPANA10:NC_016817.1/HE617161.1,,2,4355,2011-12-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/875/GCA_000283875.1_ASM28387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/875/GCF_000283875.1_ASM28387v1,x
Acinetobacter haemolyticus,Bacteria;Proteobacteria;Gammaproteobacteria,TJS01,SAMN06166709,PRJNA358138,GCA_001932555.1,Complete,3.53884,39.6994,chromosome:NZ_CP018871.1/CP018871.1; plasmid unnamed1:NZ_CP018872.1/CP018872.1; plasmid unnamed2:NZ_CP018873.1/CP018873.1,,3,3192,2016-12-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/932/555/GCA_001932555.1_ASM193255v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/932/555/GCF_001932555.1_ASM193255v1,x
Pantoea vagans,Bacteria;Proteobacteria;Gammaproteobacteria,LMG 24199,SAMN10414043,PRJNA505269,GCA_004792415.1,Complete,4.79033,55.3189,chromosome:NZ_CP038853.1/CP038853.1; plasmid unnamed1:NZ_CP038854.1/CP038854.1; plasmid unnamed2:NZ_CP038855.1/CP038855.1,,3,4278,2019-04-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/792/415/GCA_004792415.1_ASM479241v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/792/415/GCF_004792415.1_ASM479241v1,x
Acinetobacter oleivorans DR1,Bacteria;Proteobacteria;Gammaproteobacteria,DR1,SAMN02603211,PRJNA46105,GCA_000196795.1,Complete,4.15254,38.7,chromosome:NC_014259.1/CP002080.1,,1,3809,2010-06-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/795/GCA_000196795.1_ASM19679v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/795/GCF_000196795.1_ASM19679v1,x
Citrobacter freundii CFNIH1,Bacteria;Proteobacteria;Gammaproteobacteria,CFNIH1,SAMN02713684,PRJNA202883,GCA_000648515.1,Complete,5.37133,52.2253,chromosome:NZ_CP007557.1/CP007557.1; plasmid pKEC-a3c:NZ_CP007558.1/CP007558.1,,2,5006,2014-04-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/515/GCA_000648515.1_ASM64851v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/515/GCF_000648515.1_ASM64851v1,x
Pseudomonas fulva 12-X,Bacteria;Proteobacteria;Gammaproteobacteria,12-X,SAMN00713619,PRJNA49675,GCA_000213805.1,Complete,4.92077,63.5,chromosome:NC_015556.1/CP002727.1,,1,4439,2011-05-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/805/GCA_000213805.1_ASM21380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/805/GCF_000213805.1_ASM21380v1,x
Haemophilus parainfluenzae T3T1,Bacteria;Proteobacteria;Gammaproteobacteria,T3T1,SAMEA3138384,PRJNA50411,GCA_000210895.1,Complete,2.08688,39.6,chromosome:NC_015964.1/FQ312002.1,,1,1943,2010-07-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/895/GCA_000210895.1_ASM21089v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/895/GCF_000210895.1_ASM21089v1,x
Rahnella aquatilis HX2,Bacteria;Proteobacteria;Gammaproteobacteria,HX2,SAMN02603118,PRJNA85539,GCA_000255535.1,Complete,5.6568,52.1505,chromosome:NC_017047.1/CP003403.1; plasmid PRA1:NC_017060.1/CP003404.1; plasmid PRA2:NC_017807.1/CP003405.1; plasmid PRA22:NC_017773.1/CP003406.1,,4,4992,2012-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/535/GCA_000255535.1_ASM25553v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/535/GCF_000255535.1_ASM25553v1,x
Vibrio tubiashii ATCC 19109,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 19109,SAMN02940924,PRJNA256164,GCA_000772105.1,Complete,5.54034,45.0269,chromosome 1:NZ_CP009354.1/CP009354.1; chromosome 2:NZ_CP009355.1/CP009355.1; plasmid p123:NZ_CP009357.1/CP009357.1; plasmid p251:NZ_CP009356.1/CP009356.1; plasmid p48:NZ_CP009359.1/CP009359.1; plasmid p57:NZ_CP009358.1/CP009358.1,,6,4979,2014-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/105/GCA_000772105.1_ASM77210v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/105/GCF_000772105.1_ASM77210v1,x
Vibrio scophthalmi,Bacteria;Proteobacteria;Gammaproteobacteria,VS-12,SAMN05225364,PRJNA325204,GCA_001685465.1,Complete,4.92608,44.6162,chromosome 1:NZ_CP016307.1/CP016307.1; chromosome 2:NZ_CP016308.1/CP016308.1; plasmid pVS127:NZ_CP016309.1/CP016309.1; plasmid pVS14:NZ_CP016311.1/CP016311.1; plasmid pVS53:NZ_CP016310.1/CP016310.1,,5,4206,2016-07-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/465/GCA_001685465.1_ASM168546v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/465/GCF_001685465.1_ASM168546v1,x
Vibrio anguillarum 775,Bacteria;Proteobacteria;Gammaproteobacteria,775,SAMN02603689,PRJNA51883,GCA_000217675.1,Complete,4.05205,44.4781,chromosome I:NC_015633.1/CP002284.1; chromosome II:NC_015637.1/CP002285.1,,2,3420,2011-06-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/675/GCA_000217675.1_ASM21767v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/675/GCF_000217675.1_ASM21767v1,x
Marinomonas posidonica IVIA-Po-181,Bacteria;Proteobacteria;Gammaproteobacteria,IVIA-Po-181,SAMN00713622,PRJNA52545,GCA_000214215.1,Complete,3.89994,44.3,chromosome:NC_015559.1/CP002771.1,,1,3468,2011-05-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/215/GCA_000214215.1_ASM21421v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/215/GCF_000214215.1_ASM21421v1,x
Pseudoxanthomonas suwonensis 11-1,Bacteria;Proteobacteria;Gammaproteobacteria,01-Nov,SAMN00713577,PRJNA48619,GCA_000185965.1,Complete,3.41905,70.2,chromosome:NC_014924.1/CP002446.1,,1,3065,2011-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/965/GCA_000185965.1_ASM18596v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/965/GCF_000185965.1_ASM18596v1,x
Halomonas elongata DSM 2581,Bacteria;Proteobacteria;Gammaproteobacteria,type strain DSM 2581,SAMEA2272784,PRJEA49333,GCA_000196875.2,Complete,4.06182,63.6,chromosome:NC_014532.2/FN869568.2,,1,3700,2010-09-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/875/GCA_000196875.2_ASM19687v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/875/GCF_000196875.2_ASM19687v2,x
Marinomonas mediterranea MMB-1,Bacteria;Proteobacteria;Gammaproteobacteria,MMB-1,SAMN00713593,PRJNA51765,GCA_000192865.1,Complete,4.68432,44.1,chromosome:NC_015276.1/CP002583.1,,1,4078,2011-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/865/GCA_000192865.1_ASM19286v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/865/GCF_000192865.1_ASM19286v1,x
Methylomicrobium album BG8,Bacteria;Proteobacteria;Gammaproteobacteria,BG8,SAMN02256390,PRJNA51783,GCA_000214275.3, Chromosome,4.49344,56.2612,chromosome:CM001475.1; plasmid pMETAL01:CM001476.1,AFJF02,2,3794,2011-05-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/275/GCA_000214275.3_ASM21427v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/275/GCF_000214275.2_ASM21427v3,x
Thiomicrospira cyclica ALM1,Bacteria;Proteobacteria;Gammaproteobacteria,ALM1,SAMN02232061,PRJNA52629,GCA_000214825.1,Complete,1.93246,47,chromosome:NC_015581.1/CP002776.1,,1,1658,2011-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/825/GCA_000214825.1_ASM21482v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/825/GCF_000214825.1_ASM21482v1,x
Aggregatibacter segnis ATCC 33393,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC10977,SAMEA87357418,PRJEB6403,GCA_900476035.1,Complete,2.02283,42.6,chromosome 1:NZ_LS483443.1/LS483443.1,,1,1843,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/035/GCA_900476035.1_53694_C01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/035/GCF_900476035.1_53694_C01,x
Enterobacter hormaechei subsp. steigerwaltii,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 16691,SAMN05581751,PRJNA259658,GCA_001729725.1,Complete,4.78248,55.6,chromosome:NZ_CP017179.1/CP017179.1,,1,4397,2016-09-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/725/GCA_001729725.1_ASM172972v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/725/GCF_001729725.1_ASM172972v1,x
Haemophilus aegyptius,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC8502,SAMEA4076725,PRJEB6403,GCA_900475885.1,Complete,1.99326,38.3,chromosome 1:NZ_LS483429.1/LS483429.1,,1,1854,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/885/GCA_900475885.1_49595_C01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/885/GCF_900475885.1_49595_C01,x
Methylomonas methanica MC09,Bacteria;Proteobacteria;Gammaproteobacteria,MC09,SAMN00713628,PRJNA53917,GCA_000214665.1,Complete,5.05168,51.3,chromosome:NC_015572.1/CP002738.1,,1,4430,2011-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/665/GCA_000214665.1_ASM21466v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/665/GCF_000214665.1_ASM21466v1,x
Plautia stali symbiont,Bacteria;Proteobacteria;Gammaproteobacteria,,SAMD00013603,PRJDA53367,GCA_000180175.2,Complete,4.09285,56.8841,chromosome:NC_022546.1/AP012551.1; plasmid pPstS1:NC_022533.1/AP012552.1; plasmid pPstS2:NC_022534.1/AP012553.1,,3,2770,2013-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/175/GCA_000180175.2_ASM18017v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/175/GCF_000180175.2_ASM18017v2,x
Xanthomonas vesicatoria ATCC 35937,Bacteria;Proteobacteria;Gammaproteobacteria,LMG911,SAMN05823154,PRJNA344031,GCA_001908725.1,Complete,5.3499,64.0899,chromosome:NZ_CP018725.1/CP018725.1; plasmid pLMG911.1:NZ_CP018726.1/CP018726.1; plasmid pLMG911.2:NZ_CP018727.1/CP018727.1,,3,4340,2016-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/725/GCA_001908725.1_ASM190872v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/725/GCF_001908725.1_ASM190872v1,x
Xanthomonas perforans,Bacteria;Proteobacteria;Gammaproteobacteria,LH3,SAMN05823509,PRJNA344031,GCA_001908855.1,Complete,5.34642,64.6165,chromosome:NZ_CP018475.1/CP018475.1; plasmid pLH3.1:NZ_CP018472.1/CP018472.1; plasmid pLH3.2:NZ_CP018476.1/CP018476.1; plasmid pLH3.3:NZ_CP018474.1/CP018474.1; plasmid pLH3.4:NZ_CP018473.1/CP018473.1,,5,4424,2016-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/855/GCA_001908855.1_ASM190885v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/855/GCF_001908855.1_ASM190885v1,x
Aeromonas caviae,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC12244,SAMEA4475690,PRJEB6403,GCA_900476005.1,Complete,4.58614,61.6,chromosome 1:NZ_LS483441.1/LS483441.1,,1,4035,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/005/GCA_900476005.1_51438_H01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/005/GCF_900476005.1_51438_H01,x
Kangiella koreensis DSM 16069,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 16069,SAMN00002604,PRJNA29443,GCA_000024085.1,Complete,2.85207,43.7,chromosome:NC_013166.1/CP001707.1,,1,2585,2009-08-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/085/GCA_000024085.1_ASM2408v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/085/GCF_000024085.1_ASM2408v1,x
Klebsiella aerogenes KCTC 2190,Bacteria;Proteobacteria;Gammaproteobacteria,KCTC 2190,SAMN02603581,PRJNA66537,GCA_000215745.1,Complete,5.28035,54.8,chromosome:NC_015663.1/CP002824.1,,1,4795,2011-06-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/745/GCA_000215745.1_ASM21574v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1,x
Xanthomonas gardneri,Bacteria;Proteobacteria;Gammaproteobacteria,ICMP 7383,SAMN05823150,PRJNA344031,GCA_001908775.1,Complete,5.62545,63.2927,chromosome:NZ_CP018731.1/CP018731.1; plasmid pICMP7383.1:NZ_CP018732.1/CP018732.1; plasmid pICMP7383.2:NZ_CP018733.1/CP018733.1; plasmid pICMP7383.3:NZ_CP018734.1/CP018734.1,,4,4537,2016-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/775/GCA_001908775.1_ASM190877v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/775/GCF_001908775.1_ASM190877v1,x
Marichromatium purpuratum 984,Bacteria;Proteobacteria;Gammaproteobacteria,984,SAMN02256540,PRJNA62513,GCA_000224005.3,Complete,3.77911,67.9,chromosome:NZ_CP007031.1/CP007031.1,,1,3222,2014-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/005/GCA_000224005.3_ASM22400v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/005/GCF_000224005.2_ASM22400v3,x
Vibrio rotiferianus,Bacteria;Proteobacteria;Gammaproteobacteria,B64D1,SAMN06076929,PRJNA355548,GCA_002214395.1,Complete,5.27786,44.8521,chromosome 1:NZ_CP018311.1/CP018311.1; chromosome 2:NZ_CP018312.1/CP018312.1,,2,4593,2017-07-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/395/GCA_002214395.1_ASM221439v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/395/GCF_002214395.1_ASM221439v1,x
Aeromonas veronii B565,Bacteria;Proteobacteria;Gammaproteobacteria,B565,SAMN02603940,PRJNA63671,GCA_000204115.1,Complete,4.55178,58.7,chromosome:NC_015424.1/CP002607.1,,1,4022,2011-04-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/115/GCA_000204115.1_ASM20411v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/115/GCF_000204115.1_ASM20411v1,x
Pseudomonas brassicacearum subsp. brassicacearum NFM421,Bacteria;Proteobacteria;Gammaproteobacteria,NFM421,SAMN02603052,PRJEA63495,GCA_000194805.1,Complete,6.84325,60.8,chromosome:NC_015379.1/CP002585.1,,1,5964,2011-04-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/805/GCA_000194805.1_ASM19480v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/805/GCF_000194805.1_ASM19480v1,x
Gallibacterium anatis UMN179,Bacteria;Proteobacteria;Gammaproteobacteria,UMN179,SAMN02604222,PRJNA65483,GCA_000209675.1,Complete,2.69414,39.8896,chromosome:NC_015460.1/CP002667.1; plasmid pUMN179:NC_015461.1/CP002668.1,,2,2382,2011-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/675/GCA_000209675.1_ASM20967v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/675/GCF_000209675.1_ASM20967v1,x
Haemophilus haemolyticus,Bacteria;Proteobacteria;Gammaproteobacteria,M19346,SAMN09704955,PRJNA428178,GCA_003352385.1,Complete,1.97306,38.5,chromosome:NZ_CP031243.1/CP031243.1,,1,1779,2018-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/352/385/GCA_003352385.1_ASM335238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/385/GCF_003352385.1_ASM335238v1,x
