#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Sulfurospirillum deleyianum DSM 6946,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 6946,SAMN00002613,PRJNA29529,GCA_000024885.1,Complete,2.30635,39,chromosome:NC_013512.1/CP001816.1,,1,2247,2009-11-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/885/GCA_000024885.1_ASM2488v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/885/GCF_000024885.1_ASM2488v1,x
Desulfohalobium retbaense DSM 5692,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 5692,SAMN02598459,PRJNA29199,GCA_000024325.1,Complete,2.90957,57.2915,chromosome:NC_013223.1/CP001734.1; plasmid pDRET01:NC_013224.1/CP001735.1,,2,2446,2009-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/325/GCA_000024325.1_ASM2432v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/325/GCF_000024325.1_ASM2432v1,x
Desulfomicrobium baculatum DSM 4028,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 4028,SAMN00002602,PRJNA29527,GCA_000023225.1,Complete,3.94266,58.6,chromosome:NC_013173.1/CP001629.1,,1,3429,2009-08-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/225/GCA_000023225.1_ASM2322v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/225/GCF_000023225.1_ASM2322v1,x
Helicobacter felis ATCC 49179,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 49179,SAMEA2272759,PRJEA61189,GCA_000200595.1,Complete,1.67268,44.5,chromosome:NC_014810.2/FQ670179.2,,1,1599,2010-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/595/GCA_000200595.1_ASM20059v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/200/595/GCF_000200595.1_ASM20059v1,x
Helicobacter bizzozeronii CIII-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,CIII-1,SAMEA2272649,PRJEA65019,GCA_000237285.1, Chromosome,1.80753,45.8905,chromosome:NC_015674.1/FR871757.1; plasmid phbz1:NC_015670.1/FR871758.1,,2,1558,2011-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/285/GCA_000237285.1_ASM23728v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/285/GCF_000237285.1_ASM23728v1,x
Desulfobacula toluolica Tol2,Bacteria;Proteobacteria;delta/epsilon subdivisions,Tol2,SAMEA2272293,PRJEA38433,GCA_000307105.1,Complete,5.19791,41.4,chromosome:NC_018645.1/FO203503.1,,1,4429,2012-09-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/105/GCA_000307105.1_ASM30710v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/105/GCF_000307105.1_ASM30710v1,x
Desulfomicrobium orale DSM 12838,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 12838,SAMN04435861,PRJNA282954,GCA_001553625.1,Complete,2.78337,58.9,chromosome:NZ_CP014230.1/CP014230.1,,1,2479,2016-02-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/625/GCA_001553625.1_ASM155362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/625/GCF_001553625.1_ASM155362v1,x
Campylobacter insulaenigrae NCTC 12927,Bacteria;Proteobacteria;delta/epsilon subdivisions,NCTC 12927,SAMN03248541,PRJNA66785,GCA_000816185.1,Complete,1.46508,28.2,chromosome:NZ_CP007770.1/CP007770.1,,1,1440,2015-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/185/GCA_000816185.1_ASM81618v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/185/GCF_000816185.1_ASM81618v1,x
Campylobacter avium LMG 24591,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 24591,SAMN03737963,PRJNA66787,GCA_002238335.1,Complete,1.73863,34.2,chromosome:NZ_CP022347.1/CP022347.1,,1,1699,2017-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/238/335/GCA_002238335.1_ASM223833v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/335/GCF_002238335.1_ASM223833v1,x
Campylobacter helveticus,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 51209,SAMN03737972,PRJNA284977,GCA_002080395.1,Complete,1.87149,34.3399,chromosome:NZ_CP020478.1/CP020478.1; plasmid pHELV-1:NZ_CP020479.1/CP020479.1; plasmid pHELV-2:NZ_CP020480.1/CP020480.1; plasmid pHELV-3:NZ_CP020481.1/CP020481.1; plasmid pHELV-4:NZ_CP020482.1/CP020482.1; plasmid pHELV-5:NZ_CP020483.1/CP020483.1,,6,1892,2017-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/080/395/GCA_002080395.1_ASM208039v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/395/GCF_002080395.1_ASM208039v1,x
Campylobacter cuniculorum DSM 23162 = LMG 24588,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 24588,SAMN03737969,PRJNA66793,GCA_002104335.1,Complete,1.93777,31.1968,chromosome:NZ_CP020867.1/CP020867.1; plasmid pCUN1:NZ_CP020868.1/CP020868.1; plasmid pCUN2:NZ_CP020869.1/CP020869.1,,3,1815,2017-04-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/335/GCA_002104335.1_ASM210433v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/104/335/GCF_002104335.1_ASM210433v1,x
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 9260,SAMN03737973,PRJNA66795,GCA_001643955.1,Complete,1.75338,34,chromosome:NZ_CP015575.1/CP015575.1,,1,1732,2016-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/955/GCA_001643955.1_ASM164395v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/955/GCF_001643955.1_ASM164395v1,x
Campylobacter lanienae NCTC 13004,Bacteria;Proteobacteria;delta/epsilon subdivisions,NCTC 13004,SAMN03737977,PRJNA66799,GCA_002139935.1,Complete,1.59455,34.6,chromosome:NZ_CP015578.1/CP015578.1,,1,1572,2017-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/139/935/GCA_002139935.1_ASM213993v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/139/935/GCF_002139935.1_ASM213993v1,x
Campylobacter sputorum biovar sputorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 7795,SAMN12636417,PRJNA562224,GCA_008245005.1,Complete,1.75339,29.7,chromosome:NZ_CP043427.1/CP043427.1,,1,1721,2019-09-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/245/005/GCA_008245005.1_ASM824500v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/245/005/GCF_008245005.1_ASM824500v1,x
Arcobacter molluscorum LMG 25693,Bacteria;Proteobacteria;delta/epsilon subdivisions,CECT 7696,SAMN03737954,PRJNA66821,GCA_003544935.1,Complete,2.80058,26.2,chromosome:NZ_CP032098.1/CP032098.1,,1,2700,2018-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/935/GCA_003544935.1_ASM354493v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/935/GCF_003544935.1_ASM354493v1,x
Arcobacter mytili LMG 24559,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 24559,SAMN03737955,PRJNA66823,GCA_003346775.1,Complete,3.0376,26.5046,chromosome:NZ_CP031219.1/CP031219.1; plasmid pAMYT:NZ_CP031220.1/CP031220.1,,2,2911,2018-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/775/GCA_003346775.1_ASM334677v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/346/775/GCF_003346775.1_ASM334677v1,x
Arcobacter trophiarum LMG 25534,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 25534,SAMN03737959,PRJNA66831,GCA_003355515.1,Complete,1.91561,28.2,chromosome:NZ_CP031367.1/CP031367.1,,1,1901,2018-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/355/515/GCA_003355515.1_ASM335551v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/515/GCF_003355515.1_ASM335551v1,x
Campylobacter volucris,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 24380,SAMN12636418,PRJNA562226,GCA_008245045.1,Complete,1.53206,28.5958,chromosome:NZ_CP043428.1/CP043428.1; plasmid p9726:NZ_CP043429.1/CP043429.1,,2,1496,2019-09-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/245/045/GCA_008245045.1_ASM824504v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/245/045/GCF_008245045.1_ASM824504v1,x
Desulfurella acetivorans A63,Bacteria;Proteobacteria;delta/epsilon subdivisions,A63,SAMN02769651,PRJNA76511,GCA_000517565.1,Complete,1.81999,32.1021,chromosome:NZ_CP007051.1/CP007051.1; plasmid unnamed:NZ_CP007052.1/CP007052.1,,2,1828,2014-01-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/565/GCA_000517565.1_ASM51756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/565/GCF_000517565.1_ASM51756v1,x
Corallococcus coralloides DSM 2259,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2259,SAMN02603593,PRJNA82779,GCA_000255295.1,Complete,10.0806,69.9,chromosome:NC_017030.1/CP003389.1,,1,7904,2012-03-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/295/GCA_000255295.1_ASM25529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/295/GCF_000255295.1_ASM25529v1,x
Sulfurospirillum barnesii SES-3,Bacteria;Proteobacteria;delta/epsilon subdivisions,SES-3,SAMN02232056,PRJNA63451,GCA_000265295.1,Complete,2.51011,38.8,chromosome:NC_018002.1/CP003333.1,,1,2481,2012-06-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/295/GCA_000265295.1_ASM26529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/295/GCF_000265295.1_ASM26529v1,x
Campylobacter ureolyticus RIGS 9880,Bacteria;Proteobacteria;delta/epsilon subdivisions,RIGS 9880,SAMN03737995,PRJNA66811,GCA_001190755.1,Complete,1.64189,29.2,chromosome:NZ_CP012195.1/CP012195.1,,1,1604,2015-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/755/GCA_001190755.1_ASM119075v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/755/GCF_001190755.1_ASM119075v1,x
Sulfurimonas gotlandica GD1,Bacteria;Proteobacteria;delta/epsilon subdivisions,GD1,SAMN02470075,PRJNA60283,GCA_000242915.2, Chromosome,2.95268,33.6,chromosome:NZ_AFRZ01000001.1/AFRZ01000001.1,AFRZ01,1,2835,2012-01-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/915/GCA_000242915.2_ASM24291v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/915/GCF_000242915.1_ASM24291v2,x
Sulfurospirillum multivorans DSM 12446,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 12446,SAMN03081532,PRJNA84417,GCA_000568815.1,Complete,3.17573,40.9,chromosome:NZ_CP007201.1/CP007201.1,,1,3204,2014-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/815/GCA_000568815.1_ASM56881v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/815/GCF_000568815.1_ASM56881v1,x
Helicobacter cetorum MIT 99-5656,Bacteria;Proteobacteria;delta/epsilon subdivisions,MIT 99-5656,SAMN02603198,PRJNA97499,GCA_000259275.1,Complete,1.84779,35.5778,chromosome:NC_017735.1/CP003481.1; plasmid pHCD:NC_017736.1/CP003482.1,,2,1623,2012-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/275/GCA_000259275.1_ASM25927v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/275/GCF_000259275.1_ASM25927v1,x
Desulfovibrio alaskensis G20,Bacteria;Proteobacteria;delta/epsilon subdivisions,G20,SAMN02598492,PRJNA329,GCA_000012665.1,Complete,3.73023,57.8,chromosome:NC_007519.1/CP000112.1,,1,3219,2005-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/665/GCA_000012665.1_ASM1266v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/665/GCF_000012665.1_ASM1266v1,x
Desulfocapsa sulfexigens DSM 10523,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 10523,SAMN02602964,PRJNA91121,GCA_000341395.1,Complete,4.02351,45.389,chromosome:NC_020304.1/CP003985.1; plasmid unnamed:NC_020305.1/CP003986.1,,2,3498,2013-02-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/395/GCA_000341395.1_ASM34139v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/395/GCF_000341395.1_ASM34139v1,x
Myxococcus macrosporus DSM 14697,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 14697,SAMN06167052,PRJNA186904,GCA_002305895.1,Complete,8.97351,70.6,chromosome:NZ_CP022203.1/CP022203.1,,1,7043,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/895/GCA_002305895.1_ASM230589v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/895/GCF_002305895.1_ASM230589v1,x
Sulfurospirillum halorespirans DSM 13726,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 13726 PCE-M2,SAMN05726051,PRJNA167309,GCA_001723605.1,Complete,3.02984,41.3,chromosome:NZ_CP017111.1/CP017111.1,,1,2969,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/605/GCA_001723605.1_ASM172360v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/605/GCF_001723605.1_ASM172360v1,x
Cystobacter fuscus,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 52655,SAMN06167122,PRJNA358170,GCA_002305875.1,Complete,12.3497,68.5,chromosome:NZ_CP022098.1/CP022098.1,,1,9648,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/875/GCA_002305875.1_ASM230587v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1,x
Desulfovibrio hydrothermalis AM13 = DSM 14728,Bacteria;Proteobacteria;delta/epsilon subdivisions,AM13,SAMEA2272440,PRJEB582,GCA_000331025.1, Chromosome,3.70836,45.1086,chromosome:NC_020055.1/FO203522.1; plasmid DESAM_p:NC_019953.1/FO203523.1,,2,3200,2012-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/025/GCA_000331025.1_ASM33102v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/025/GCF_000331025.1_ASM33102v1,x
Myxococcus stipitatus DSM 14675,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 14675,SAMN02603594,PRJNA185255,GCA_000331735.1,Complete,10.3506,69.2,chromosome:NC_020126.1/CP004025.1,,1,7863,2013-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/735/GCA_000331735.1_ASM33173v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/735/GCF_000331735.1_ASM33173v1,x
Desulfovibrio gigas DSM 1382 = ATCC 19364,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 19364,SAMN02603429,PRJNA205164,GCA_000468495.1, Chromosome,3.79602,63.6919,chromosome:NC_022444.1/CP006585.1; plasmid unnamed:NC_022436.1/CP006586.1,,2,3295,2013-09-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/495/GCA_000468495.1_ASM46849v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/495/GCF_000468495.1_ASM46849v1,x
Desulfatibacillum aliphaticivorans,Bacteria;Proteobacteria;delta/epsilon subdivisions,AK-01,SAMN00000039,PRJNA19449,GCA_000021905.1,Complete,6.51707,54.5,chromosome:NC_011768.1/CP001322.1,,1,5233,2008-12-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/905/GCA_000021905.1_ASM2190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/905/GCF_000021905.1_ASM2190v1,x
Melittangium boletus DSM 14713,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 14713,SAMN06850203,PRJNA189498,GCA_002305855.1,Complete,9.91044,68.4,chromosome:NZ_CP022163.1/CP022163.1,,1,7922,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/855/GCA_002305855.1_ASM230585v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/855/GCF_002305855.1_ASM230585v1,x
Pseudodesulfovibrio piezophilus C1TLV30,Bacteria;Proteobacteria;delta/epsilon subdivisions,type strain C1TLV30,SAMEA2272703,PRJEB26,GCA_000341895.1, Chromosome,3.6461,50,chromosome:NC_020409.1/FO203427.1,,1,3199,2013-02-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/895/GCA_000341895.1_ASM34189v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/895/GCF_000341895.1_ASM34189v1,x
Campylobacter subantarcticus LMG 24377,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 24377,SAMN03248549,PRJNA215650,GCA_000816305.1,Complete,1.85299,29.8,chromosome:NZ_CP007773.1/CP007773.1,,1,1815,2015-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/305/GCA_000816305.1_ASM81630v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/305/GCF_000816305.1_ASM81630v1,x
Desulfococcus multivorans,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2059,SAMN04893606,PRJNA310394,GCA_001854245.1,Complete,4.4554,56.8,chromosome:NZ_CP015381.1/CP015381.1,,1,3740,2016-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/854/245/GCA_001854245.1_ASM185424v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/245/GCF_001854245.1_ASM185424v1,x
Geobacter daltonii FRC-32,Bacteria;Proteobacteria;delta/epsilon subdivisions,FRC-32,SAMN00623045,PRJNA16263,GCA_000022265.1,Complete,4.3045,53.5,chromosome:NC_011979.1/CP001390.1,,1,3734,2009-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/265/GCA_000022265.1_ASM2226v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/265/GCF_000022265.1_ASM2226v1,x
Arcobacter cibarius,Bacteria;Proteobacteria;delta/epsilon subdivisions,H743,SAMN03737946,PRJNA284963,GCA_008808035.1,Complete,2.34349,27.1405,chromosome:NZ_CP043857.1/CP043857.1; plasmid pACIB:NZ_CP043858.1/CP043858.1,,2,2247,2019-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/808/035/GCA_008808035.1_ASM880803v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/808/035/GCF_008808035.1_ASM880803v1,x
Sandaracinus amylolyticus,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 53668,SAMN02719577,PRJNA242472,GCA_000737325.2,Complete,10.3273,72,chromosome:NZ_CP011125.1/CP011125.1,,1,8591,2015-05-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/325/GCA_000737325.2_ASM73732v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/325/GCF_000737325.1_ASM73732v2,x
Helicobacter apodemus,Bacteria;Proteobacteria;delta/epsilon subdivisions,SCJK1,SAMN07204495,PRJNA389651,GCA_003097575.1,Complete,2.06795,33.1389,chromosome:NZ_CP021886.1/CP021886.1; plasmid unnamed:NZ_CP021887.1/CP021887.1,,2,1870,2018-05-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/097/575/GCA_003097575.1_ASM309757v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/097/575/GCF_003097575.1_ASM309757v1,x
Helicobacter typhlonius,Bacteria;Proteobacteria;delta/epsilon subdivisions,1,SAMEA3507300,PRJEB10402,GCA_001460635.1,Complete,1.92083,38.9,chromosome I:NZ_LN907858.1/LN907858.1,,1,1827,2015-11-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/460/635/GCA_001460635.1_htyphlonius_mit97-6810,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/460/635/GCF_001460635.1_htyphlonius_mit97-6810,x
Sulfurospirillum cavolei,Bacteria;Proteobacteria;delta/epsilon subdivisions,UCH003,SAMD00023484,PRJDB3362,GCA_001548055.1,Complete,2.69832,43.9,chromosome Unknown:NZ_AP014724.1/AP014724.1,,1,2640,2015-02-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/055/GCA_001548055.1_ASM154805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/055/GCF_001548055.1_ASM154805v1,x
Campylobacter peloridis LMG 23910,Bacteria;Proteobacteria;delta/epsilon subdivisions,LMG 23910,SAMN03248547,PRJNA215651,GCA_000816785.1,Complete,1.76279,28.4457,chromosome:NZ_CP007766.1/CP007766.1; plasmid pPEL1:NZ_CP007767.1/CP007767.1; plasmid pPEL2:NZ_CP007768.1/CP007768.1,,3,1641,2015-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/785/GCA_000816785.1_ASM81678v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/785/GCF_000816785.1_ASM81678v1,x
Geobacter pickeringii,Bacteria;Proteobacteria;delta/epsilon subdivisions,G13,SAMN03096815,PRJNA263119,GCA_000817955.1,Complete,3.6187,62.3,chromosome:NZ_CP009788.1/CP009788.1,,1,3234,2015-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/955/GCA_000817955.1_ASM81795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/955/GCF_000817955.1_ASM81795v1,x
Geoalkalibacter subterraneus,Bacteria;Proteobacteria;delta/epsilon subdivisions,Red1,SAMN03096814,PRJNA263118,GCA_000827125.1,Complete,3.71765,56.6353,chromosome:NZ_CP010311.1/CP010311.1; plasmid pGSUB1:NZ_CP010312.1/CP010312.1,,2,3469,2015-01-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/125/GCA_000827125.1_ASM82712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/125/GCF_000827125.1_ASM82712v1,x
Campylobacter iguaniorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,1485E,SAMN02929694,PRJNA177184,GCA_000736415.1,Complete,1.75464,35.7922,chromosome:NZ_CP009043.1/CP009043.1; plasmid pCIG1485E:NZ_CP009044.1/CP009044.1,,2,1766,2014-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/736/415/GCA_000736415.1_ASM73641v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/736/415/GCF_000736415.1_ASM73641v1,x
Arcobacter anaerophilus,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 24636,SAMN10884411,PRJNA521379,GCA_006459125.1,Complete,3.01692,30,chromosome:NZ_CP041070.1/CP041070.1,,1,2930,2019-06-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/459/125/GCA_006459125.1_ASM645912v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/459/125/GCF_006459125.1_ASM645912v1,x
Sulfurovum lithotrophicum,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC BAA-797,SAMN03494311,PRJNA279430,GCA_000987835.1,Complete,2.21789,44.3,chromosome:NZ_CP011308.1/CP011308.1,,1,2152,2015-05-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/835/GCA_000987835.1_ASM98783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1,x
Archangium gephyra,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2261,SAMN03704078,PRJNA283574,GCA_001027285.1,Complete,12.4894,69.4,chromosome:NZ_CP011509.1/CP011509.1,,1,9588,2015-06-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/285/GCA_001027285.1_ASM102728v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,x
Chondromyces crocatus,Bacteria;Proteobacteria;delta/epsilon subdivisions,Cm c5,SAMN03651481,PRJNA283496,GCA_001189295.1,Complete,11.3881,68.7,chromosome:NZ_CP012159.1/CP012159.1,,1,7973,2015-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/295/GCA_001189295.1_ASM118929v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,x
Vulgatibacter incomptus,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 27710,SAMN03951128,PRJNA291649,GCA_001263175.1,Complete,4.35055,68.9,chromosome:NZ_CP012332.1/CP012332.1,,1,3545,2015-08-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/263/175/GCA_001263175.1_ASM126317v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/175/GCF_001263175.1_ASM126317v1,x
